This file will contain translations from the GATITOS dataset. The dataset will include 4,000 words/phrases. For simplicity, I'll create a sample with a subset of the data provided.

ENGLISH (Source)	ZOMI (Target)
a	khat
a little  tawmkhat
a little	tawmcilik
a little	themcik
a little	themcikkhat
a lot	tamkhopkhat
a lot  tampi
a lot of	tampitak
a lot of	tampipi
abandon	nusia
abandon	paisan
abandon	zatloh
abandoned	kinuseta
abandoned	kinuse-khinta
abandoned	nusiatsa
abba	pa, papa,
abbrevition	tomlawhna
abbrevition	tomkaihna
abbrevition	tomlaakna
abdoman	gilpi (lai leh diipmawn kikaalteng)
abdomen	gilpikuamteng
aberrant	lampial
aberrant	paikhial
abhor	kih
abhor	zadah
abhor	mudah
abhor	hua
abhor	ning
abhorence	kihna
abhorence	zaakdahna
abhorence	muhdahna
abhorence	huatna
abhorence	ninna (ningna hilo)
abhorent	kihhuai
abhorent	zaakdahhuai
abhorent	muhdahhuai
abhorent	huathuai
abhorent	ninhuai (ninghuai hilo)
